representation,effective_rank,spectral_rank,rank_share,top1,top5,k95,scale,n,d
objlab predictive (128d),2.3527638912200928,3.641484260559082,0.018380967900156975,0.6203872561454773,0.9526510834693909,5,1.8994472026824951,1005,128
objlab dsr (128d),5.031364440917969,9.234251022338867,0.03930753469467163,0.3762958347797394,0.7917376756668091,16,5.284493923187256,1005,128
objlab actorcritic (128d),2.311110019683838,3.56528377532959,0.018055547028779984,0.6316884160041809,0.9594072699546814,5,0.14292143285274506,1005,128
objlab masked (128d),3.914041757583618,7.7187347412109375,0.030578451231122017,0.4594089388847351,0.8211719393730164,15,10.288159370422363,1005,128
