axis,size,objective,seed,dir1_auc,mag_r2,vol20_r2,regime_bacc,effective_rank,supervised_sharpe
feature,4,auto,20260814,0.49071679438058746,0.072198023173761,0.20637783977154134,0.8745519713261648,4.200183391571045,1.1541839118481927
feature,4,auto,111,0.4967233397190294,0.02213727251756481,0.2688479479232123,0.8374264503296761,5.110148906707764,0.9266668103423966
feature,4,auto,222,0.5093350893997446,0.05854769404003268,0.29257755462278046,0.8728359696101631,4.652688980102539,0.7867328619689001
feature,4,auto,333,0.5125798212005108,0.017388060959541485,0.26950710278982737,0.8598690856755372,4.794863700866699,0.35667564723634737
feature,4,auto,444,0.5084730204342274,0.05427988794136396,0.22510838835676616,0.8635501861308313,4.81852388381958,0.7002879717474453
feature,4,auto,555,0.511522190293742,0.048125302247892576,0.34807391626030004,0.8100157132415197,4.212369918823242,0.7461833232568372
feature,4,auto,666,0.5078783524904215,0.10037144480065252,0.28824097229003853,0.869334772560579,5.023068904876709,0.5512306333623429
feature,4,auto,777,0.5046775223499361,0.03138789498370331,0.2041453343565348,0.775893195248034,4.758843898773193,0.7284470578121331
feature,4,auto,888,0.49875878033205623,0.02899301378959296,0.22220252825449327,0.881734268831043,4.894145488739014,0.8889139891409689
feature,4,auto,999,0.5116538952745848,0.07089916321288703,0.3227925486252182,0.8716181619407425,4.853216171264648,0.6690071701665011
feature,8,auto,20260814,0.4813817049808429,0.028600729195213948,0.061457995613817706,0.5518329389297132,4.847097396850586,0.635046903219204
feature,8,auto,111,0.514463601532567,0.03230300163499544,-0.06490408519307755,0.5784548687774493,4.87924861907959,0.9967867306746099
feature,8,auto,222,0.5026939655172413,-0.004370999671606146,-0.1026225077637195,0.6354490225457968,4.658805847167969,0.7365037432065168
feature,8,auto,333,0.48322158365261814,-0.06488328504817265,-0.07574657319236411,0.5536873278808763,4.872067928314209,0.018868909035109255
feature,8,auto,444,0.5146072796934866,0.051622448554927924,0.10130107501445518,0.545328738877126,4.866055011749268,0.9610423836948963
feature,8,auto,555,0.4940014367816092,-0.02281820382109312,0.06061754115094187,0.6776118389021616,4.937166690826416,0.17071549810993902
feature,8,auto,666,0.5201748084291188,-0.040731144645364425,0.12935179018738063,0.6915574980091108,4.860536575317383,0.5568084473276078
feature,8,auto,777,0.5000558748403576,-0.002103175325007367,0.0047755534815761,0.7090219670864832,4.876216411590576,0.3494099977223923
feature,8,auto,888,0.534566570881226,0.03730542733513886,0.0855369086855664,0.6062530901240579,4.774229526519775,0.6948575370148556
feature,8,auto,999,0.5321839080459769,0.029866583432567984,0.04516961067706571,0.5890276535437825,4.80110502243042,1.619829610294997
feature,12,auto,20260814,0.5205180395913154,0.029694920644839806,-0.08070253090316393,0.5607589155976253,4.952221393585205,1.2364611868672
