rep,algo,seed,metric,group,value
raw,IQL,222,sharpe_year,2023,-0.15074829019860037
raw,IQL,222,sharpe_year,2024,1.2807735243798275
raw,CQL,20260814,divergence,all,0.7770997285842896
raw,CQL,20260814,corr_behavior,all,0.6992643886805647
raw,CQL,20260814,action_std,all,0.2920231521129608
raw,CQL,20260814,behavior_action_std,all,0.4643709659576416
raw,CQL,20260814,js_divergence,all,0.573883106178579
raw,CQL,20260814,sharpe,all,0.637592534137844
raw,CQL,20260814,sharpe_regime,bull,0.7603110954543969
raw,CQL,20260814,sharpe_regime,bear,0.3583770511303777
raw,CQL,20260814,sharpe_regime,crisis,1.6303936784993478
raw,CQL,20260814,sharpe_year,2021,1.649009304630418
raw,CQL,20260814,sharpe_year,2022,-1.311055740093511
raw,CQL,20260814,sharpe_year,2023,1.4623271864961433
raw,CQL,20260814,sharpe_year,2024,1.8440199039716825
raw,CQL,111,divergence,all,0.13665136694908142
raw,CQL,111,corr_behavior,all,0.6733772571640111
raw,CQL,111,action_std,all,0.22472494840621948
raw,CQL,111,behavior_action_std,all,0.4643709659576416
raw,CQL,111,js_divergence,all,0.3527233373602906
raw,CQL,111,sharpe,all,0.25361773994134995
raw,CQL,111,sharpe_regime,bull,0.07299803262198758
raw,CQL,111,sharpe_regime,bear,0.48528830082821917
raw,CQL,111,sharpe_regime,crisis,5.57411879564876
raw,CQL,111,sharpe_year,2021,1.6935113133072528
raw,CQL,111,sharpe_year,2022,-0.6000845683581101
raw,CQL,111,sharpe_year,2023,0.5275701787085072
raw,CQL,111,sharpe_year,2024,1.2039732026948489
raw,CQL,222,divergence,all,0.7741650342941284
raw,CQL,222,corr_behavior,all,0.7062583624383756
raw,CQL,222,action_std,all,0.28946202993392944
raw,CQL,222,behavior_action_std,all,0.4643709659576416
raw,CQL,222,js_divergence,all,0.5709815226704393
raw,CQL,222,sharpe,all,0.6237153503099772
raw,CQL,222,sharpe_regime,bull,0.7325654516145176
raw,CQL,222,sharpe_regime,bear,0.3710173569190136
raw,CQL,222,sharpe_regime,crisis,1.865401154539066
raw,CQL,222,sharpe_year,2021,1.609257424026438
raw,CQL,222,sharpe_year,2022,-1.2903894096500823
raw,CQL,222,sharpe_year,2023,1.330740347380981
raw,CQL,222,sharpe_year,2024,1.8384609079953709
auto,BC,20260814,divergence,all,0.06523802876472473
auto,BC,20260814,corr_behavior,all,0.9010377037589353
auto,BC,20260814,action_std,all,0.1798127144575119
auto,BC,20260814,behavior_action_std,all,0.4643709659576416
auto,BC,20260814,js_divergence,all,0.4243434116663076
auto,BC,20260814,sharpe,all,0.5032951982001432
auto,BC,20260814,sharpe_regime,bull,0.2684971877454569
auto,BC,20260814,sharpe_regime,bear,0.9643277940294438
auto,BC,20260814,sharpe_regime,crisis,2.6400678256296364
auto,BC,20260814,sharpe_year,2021,1.9124551102346319
auto,BC,20260814,sharpe_year,2022,-0.2608330750916326
auto,BC,20260814,sharpe_year,2023,0.2140669148175771
auto,BC,20260814,sharpe_year,2024,0.9537243943916872
auto,BC,111,divergence,all,0.053622230887413025
