rep,algo,seed,divergence,bear,bull,crisis
raw,BC,20260814,0.099793255329132,1.2894413567230665,0.6856805075481179,2.3377183920585662
raw,BC,111,0.0617387033998966,1.0320017204941094,0.6325556642023733,-0.1988856384557984
raw,BC,222,0.1499568223953247,1.1379675599985932,-0.2579323654610049,1.4838538580658336
raw,A2C,20260814,0.9909959435462952,0.8821129860796794,0.3189873624813225,-1.6369705277192117
raw,A2C,111,1.0155469179153442,0.6152393522281299,0.1035066327267494,-3.156231110707937
raw,A2C,222,0.8849947452545166,0.4496081007013214,0.1429313180031909,-1.6423868358885632
raw,IQL,20260814,0.1243414133787155,0.6648110247963063,0.0720738513823256,1.551939050165838
raw,IQL,111,0.0997975096106529,0.4303399964005958,0.4333554130374406,-0.7142386485479927
raw,IQL,222,0.0702494755387306,1.1612195482495795,0.1001861083429435,3.1031611582448524
raw,CQL,20260814,0.7770997285842896,0.3583770511303777,0.7603110954543969,1.6303936784993478
raw,CQL,111,0.1366513669490814,0.4852883008282191,0.0729980326219875,5.57411879564876
raw,CQL,222,0.7741650342941284,0.3710173569190136,0.7325654516145176,1.865401154539066
auto,BC,20260814,0.0652380287647247,0.9643277940294438,0.2684971877454569,2.6400678256296364
auto,BC,111,0.053622230887413,1.173075552365139,0.5514874835592857,3.598990403485661
auto,BC,222,0.0497311353683471,1.284050379212938,0.4948993593311552,3.846502854318288
auto,A2C,20260814,0.901355803012848,0.5587318131658363,0.6355979951360748,-4.240311207914959
auto,A2C,111,0.218897134065628,-0.5060610098532045,0.7713369701825727,1.2690936204390302
auto,A2C,222,0.4806090891361236,0.9622700885800214,0.9403022958037102,4.762873772126596
auto,IQL,20260814,0.0591331683099269,1.06012421781442,0.2774613471484383,3.4061010798458184
auto,IQL,111,0.0564961619675159,1.0465000963352118,0.5144482740404471,4.128764415072149
auto,IQL,222,0.0685389414429664,1.3672616117599032,0.5631242932003302,4.304438937053349
auto,CQL,20260814,0.8749708533287048,0.5670019582268438,0.9635328405153286,0.8382194330211152
auto,CQL,111,0.6437631249427795,0.5178957491229575,0.713582454778977,2.7198561157865915
auto,CQL,222,0.876181423664093,0.6164322689103856,0.9504283684717736,0.4494594932626696
predictive,BC,20260814,0.0458145327866077,1.2066899376890583,0.3466133480929005,2.665074997478197
predictive,BC,111,0.047660082578659,1.17959276625141,0.357856421861058,2.9650363245438385
predictive,BC,222,0.0400225818157196,1.0522420245817217,0.3864362472180424,2.986479366473282
predictive,A2C,20260814,0.280809611082077,0.7016346475729038,0.5290665894476343,2.620407660838924
predictive,A2C,111,0.1714143902063369,0.6032260887171207,0.8676460621133418,1.0290838456311535
predictive,A2C,222,0.137944757938385,0.8242330989989005,0.9235021608874054,-2.261947641028122
predictive,IQL,20260814,0.0475571379065513,1.1070615571099742,0.4024936971718748,3.006630332875224
predictive,IQL,111,0.069088838994503,1.2768556029702085,0.2876921506322409,3.53073934061849
predictive,IQL,222,0.0414577759802341,1.0535768938517562,0.3857870919038033,3.0003722410323954
predictive,CQL,20260814,0.7427482008934021,0.3012473551559131,0.8240208557646765,2.671972930466936
predictive,CQL,111,0.4907172322273254,0.3571137726296439,0.6587347328425947,2.2424917509215296
predictive,CQL,222,0.9129838943481444,0.5481898780772256,0.9500506189859677,-0.8069838492261977
contrastive,BC,20260814,0.0656358301639556,0.9522195157781824,0.4070266450095488,4.520297445807675
contrastive,BC,111,0.0632364973425865,0.9695033546828422,0.5921086800334574,4.710890211901859
contrastive,BC,222,0.0609982535243034,0.4924396300941068,0.4485157977476534,4.705428656379541
contrastive,A2C,20260814,0.8997396230697632,0.0597173613945348,1.0080881664457664,1.817780797188432
contrastive,A2C,111,0.9951610565185548,-0.0794007113649925,1.135158035265551,0.9461166015348657
contrastive,A2C,222,0.725853681564331,0.0629294746456755,1.980848472021748,1.6226948287436465
contrastive,IQL,20260814,0.0618913657963275,0.8845830847816544,0.4445723985942376,4.703110969211256
contrastive,IQL,111,0.0609571486711502,0.8968853258160523,0.5527579602324628,5.1036053225012585
contrastive,IQL,222,0.057237509638071,0.9644584212946627,0.3603509975239335,4.207717096130594
contrastive,CQL,20260814,0.9279344081878662,0.6427696329297906,0.9407772767286808,-1.3086723583834767
contrastive,CQL,111,0.7279686331748962,0.5819202351101419,0.6637683850307771,5.835406399118748
contrastive,CQL,222,0.8933469653129578,0.6271504288924338,0.9052338790561876,-0.438992926110177
