rep,algo,val_sharpe_mean,val_sharpe_std,test_sharpe_mean,test_sharpe_std,test_return_mean,test_return_std,test_maxdd_mean,test_maxdd_std,test_turnover_mean,test_turnover_std
(baseline),behavior_mean,,,0.7254521049492096,,,,,,,
(baseline),buy_and_hold,,,0.7842636812334275,,,,,,,
(baseline),constant_mean,,,0.7842636732407716,,,,,,,
(baseline),random,,,-0.456185819157323,,,,,,,
auto,A2C,0.8525713201292634,0.3454950590926709,0.46385564132153945,0.36538955952652236,0.21211419701576234,0.2236249811756152,-0.16396928389090834,0.07106060836400348,0.09405704222255805,0.037815090273109656
auto,BC,0.004991645557429407,0.09031490761812945,0.6415980806848146,0.11999382726670538,0.08763977289199824,0.015052255522690598,-0.045926422010427306,0.005425408346854368,0.0580820086585654,0.0039690290443258475
auto,CQL,0.34970801750272534,0.27681795911102447,0.7682492490073052,0.08749182025031484,0.46028047800064087,0.15147510891289648,-0.221255061238869,0.06245859200602773,0.042964161827405034,0.024987453418477645
auto,IQL,-0.010815626052748963,0.07576767946725972,0.6238068482947576,0.08971287937739861,0.0837595701217651,0.010895968419059604,-0.04506236300920027,0.008110883396195277,0.057163527178078787,0.006336847009997067
contrastive,A2C,0.93507195816373,0.2618528320438668,0.5265084733889045,0.38892337218322137,0.3236563205718994,0.2792175948918634,-0.17496229299271956,0.04163321306619158,0.1632532518246067,0.049140456599449746
contrastive,BC,0.1732730152602408,0.07101175264898703,0.641117517490033,0.09790878324061726,0.08729585409164424,0.012776648255652386,-0.04874245752679614,0.007585636419154429,0.056115425175428814,0.002691288658359995
contrastive,CQL,0.8486282456013594,0.171909700249168,0.708644070929681,0.08703859884135685,0.4756864309310913,0.10298021977483865,-0.25219555209678923,0.004507483704686928,0.0329530430904622,0.016685324016654866
contrastive,IQL,0.14876759061314063,0.07816089068182297,0.6208223824418792,0.10066532547049714,0.08180583715438838,0.01677353699200403,-0.04556888434229801,0.004054788547909824,0.05560971674128242,0.0032082303408425927
predictive,A2C,0.5488748586780445,0.4409261729459267,0.6172718834098019,0.08945615804902912,0.15349695682525627,0.09771845084498892,-0.10040513378978347,0.08109754310637013,0.05624466809081556,0.035857525643887105
predictive,BC,0.08826119078546701,0.07493305950648216,0.6307192110405545,0.025787532638989787,0.0919788002967834,0.006604910644744479,-0.045438021887569,0.0024083844490516435,0.06261854223953325,0.0051832330955781155
predictive,CQL,0.5035966755168979,0.306462152206941,0.6755409775012304,0.127622957939899,0.4326249837875366,0.1434099442458138,-0.245516404838576,0.011439464649350941,0.05223491240253404,0.04324512506143856
predictive,IQL,0.06438758078317133,0.06850119597141997,0.6276622251242272,0.037945138626330165,0.09434874057769771,0.01025200098309386,-0.04709723124947183,0.0039104555532627734,0.06391897529693182,0.005202981388331324
raw,A2C,1.0483060257519319,0.2994965534632997,0.3621979776671734,0.2096130202894874,0.19781528711318966,0.15390961065624909,-0.2347996616659017,0.059124833528986426,0.10868581874462871,0.01246984790528637
raw,BC,0.22317318604980096,0.1648842821291722,0.6816122060338012,0.16760673419202884,0.10061200857162471,0.021559044116612153,-0.05145164800908888,0.011568148831346459,0.08490619173941814,0.010271585140607989
raw,CQL,0.4949960872595997,0.11399727433801934,0.5737677440359434,0.11970915372625984,0.2875768423080444,0.12142560466010578,-0.2151332305298655,0.07883954232157968,0.05458584556084437,0.02213278774788533
raw,IQL,0.23010097639735255,0.1877088308422829,0.5589715882043811,0.16277028620887762,0.09222055673599239,0.03264096237853793,-0.059283008012141904,0.006667866778305878,0.09466376416655649,0.009659984770225413
