algo,mean,sd,range,cv,mean_divergence,regime_corr_bull
A2C,0.49245849394685487,0.107274893877036,0.2550739057426286,0.21783540175593535,0.6419435627758503,0.4656960294637601
BC,0.6487617538123008,0.022468037464032635,0.05089299499324673,0.03463218559356239,0.06695399619638917,0.4656960294637601
IQL,0.6078157610163113,0.0326829335103375,0.06869063691984612,0.05377111882668081,0.06806220393627878,0.4656960294637601
CQL,0.68155051036854,0.08145340489920908,0.19448150497136163,0.11951191241154549,0.731544238825639,0.4656960294637601
