objective,dim,algo,seed,val_sharpe,test_sharpe,test_turnover
predictive,4,BC,20260814,0.017697686359456222,0.5581671210113021,0.022553074810148878
predictive,4,BC,111,0.011290160784822307,0.59883981710971,0.040518142086736375
predictive,4,BC,222,1.3886142601910965,-0.17140742129462286,0.018886622295492508
predictive,4,A2C,20260814,0.3978632892200745,0.7646816479283495,0.020085351376513957
predictive,4,A2C,111,0.6320741549413745,0.6258913194414233,0.07138311814925684
predictive,4,A2C,222,1.4390516475104485,0.5621588208337963,0.017286801171391756
predictive,4,IQL,20260814,-0.05319903477420279,0.6443859774955017,0.04766698923073153
predictive,4,IQL,111,-0.016452003504437856,0.6410484634709183,0.030483018924292195
predictive,4,IQL,222,0.20079618594685766,0.8050121985027224,0.029215463024879162
predictive,4,CQL,20260814,0.6746855898457623,0.5597168586612167,0.03702017423576347
predictive,4,CQL,111,0.5829713557829074,-0.1113163195457055,0.024454952943699426
predictive,4,CQL,222,0.8089095561584655,0.6777343389950401,0.024578375971658312
predictive,8,BC,20260814,0.15444094735197272,0.6509476442951041,0.054390905567894304
predictive,8,BC,111,0.4082033795372831,0.7102302415587872,0.024446090633010224
predictive,8,BC,222,0.19061993066337038,0.5704374193649326,0.028996476694705214
predictive,8,A2C,20260814,0.7891500993836457,0.8933668560831973,0.10969785531433716
predictive,8,A2C,111,0.6016666320131946,0.7319201375517597,0.1366275389408878
predictive,8,A2C,222,0.5886067788991569,0.8441841531959905,0.08683166663088275
predictive,8,IQL,20260814,0.8653529069916586,0.5844530388508425,0.021138399796136447
predictive,8,IQL,111,0.3967872493829372,0.751644511482739,0.01756241967002699
predictive,8,IQL,222,0.41830529673046885,0.5557365663116226,0.016810300178126205
predictive,8,CQL,20260814,0.32858971401817494,0.681564724016035,0.037312278892168434
predictive,8,CQL,111,0.9228793589174745,1.0183270532863122,0.02966879429365161
predictive,8,CQL,222,1.445744475506415,0.7727141722990014,0.015345555279213954
predictive,16,BC,20260814,1.0533317515065892,0.6171199284070567,0.018287039625073845
predictive,16,BC,111,0.8653091274735308,0.5780216762596079,0.013002651439984306
predictive,16,BC,222,0.2265727670121909,0.6437119082686399,0.02633239104081205
predictive,16,A2C,20260814,0.9428794670916998,0.9472342677822148,0.1111172357935514
predictive,16,A2C,111,1.4592168461699357,0.9493225261711058,0.024270903616298026
predictive,16,A2C,222,0.9236843665399681,0.9504995986393197,0.022285819476220145
predictive,16,IQL,20260814,0.8781991199797287,0.8049710628294767,0.015034600220324091
predictive,16,IQL,111,0.2964593213526833,0.7330485820632835,0.016288265356312122
predictive,16,IQL,222,0.41820107465417744,0.7369384535609336,0.013621072162786008
predictive,16,CQL,20260814,1.149600157452039,0.8653552890494801,0.015063782463044817
predictive,16,CQL,111,0.3380398820899119,0.6048233198785392,0.01655594501395325
predictive,16,CQL,222,1.0710295962453467,0.3948109706813087,0.02317644629056394
predictive,32,BC,20260814,-0.1372054822659087,0.5600798108991785,0.0663112186001433
predictive,32,BC,111,-0.050323304776588994,0.6182744611212864,0.05400289533195313
predictive,32,BC,222,-0.12994775411448276,0.4195409016783207,0.03625892199302528
predictive,32,A2C,20260814,0.1729555489632462,0.6133232701094162,0.0742951507199398
predictive,32,A2C,111,0.4583561223531648,0.7106330601412425,0.02032618364863635
predictive,32,A2C,222,0.19605318528315788,0.6018156283191327,0.055390945731706234
predictive,32,IQL,20260814,-0.09019618151304427,0.5521901645388919,0.06620970564472735
predictive,32,IQL,111,-0.010619637601862115,0.6260360724472355,0.05107152350339575
predictive,32,IQL,222,-0.09260352462852171,0.609308849405835,0.06312351701230932
predictive,32,CQL,20260814,0.0613737173079756,0.5215827810922989,0.08631741660797682
predictive,32,CQL,111,0.09445030040461232,0.5183810440710603,0.08837700007965242
predictive,32,CQL,222,-0.05549970687180643,0.5502479092273982,0.07743266542819768
predictive,64,BC,20260814,-0.024058805157698118,0.6115080225335834,0.057874664231736345
predictive,64,BC,111,0.21431133218281184,0.5628697224078494,0.019569506433176165
predictive,64,BC,222,0.0028517689308798916,0.6061017205774818,0.028495470756393814
predictive,64,A2C,20260814,0.433050805453382,0.5788285836551639,0.10142049570174062
predictive,64,A2C,111,1.29703993329643,0.7731883040009251,0.014870690501095792
predictive,64,A2C,222,0.383335775306916,0.8539475348667473,0.02948065298037205
predictive,64,IQL,20260814,0.10657217330155941,0.544547740498307,0.018563785407789496
predictive,64,IQL,111,0.01614092456576082,0.5781254252048432,0.03822004473131076
predictive,64,IQL,222,0.059043485656708056,0.4990986328707358,0.024324364891734476
predictive,64,CQL,20260814,0.3248370454582243,0.6513546098713711,0.08000386624193903
predictive,64,CQL,111,0.2538085378727473,0.6581074060614054,0.08217098040144835
predictive,64,CQL,222,0.8238854816700556,0.8252297761218427,0.009915052243133089
predictive,128,BC,20260814,0.054215941117021875,0.6399445352763349,0.054542192038199606
predictive,128,BC,111,0.057174815425049416,0.635548885623731,0.06462216282458003
predictive,128,BC,222,-0.01085307787203504,0.6096285713453664,0.06529200239134814
predictive,128,A2C,20260814,-0.06625396896886646,0.5635698057724776,0.059047891003825695
predictive,128,A2C,111,1.187738688511694,0.6344231961213804,0.022626389039967637
predictive,128,A2C,222,1.2073789681580847,0.7445339222925645,0.024528059833601987
predictive,128,IQL,20260814,0.07396328294035241,0.6430685440234303,0.0529059189577953
