axis,n,pearson,spearman
dir1_auc,36,0.09474776715538955,0.09540363074546156
mag_r2,36,0.3318611519168467,0.37144328569589286
vol20_r2,36,0.2736901284116958,0.3348783314020857
regime_bacc,36,0.011768900065562193,0.056006179992275
effective_rank,36,-0.07967945814557824,-0.17239603450495683
cross_seed_cka,36,-0.2311236410242895,-0.3147933565083043
