representation,direction_1,direction_5,direction_20,magnitude_1,vol_5,vol_20,regime,reconstruct
C+ logistic score (1d),0.5378486055776892,0.586,0.6609137055837564,-0.006700060115886419,-0.04807400920251692,-0.07318656088876141,0.7681592039800995,0.16243453460336083
D encoder (128d),0.5119521912350598,0.567,0.6182741116751269,-0.05226700799134654,0.13422958459300482,0.14927011211657415,0.909452736318408,0.9454177517790253
DDR-GRU (32d),0.5308764940239044,0.591,0.650761421319797,0.07433540197652744,0.20672752402686667,0.08530963772330225,0.8567164179104477,0.8930458577904141
Raw 20x8 window (160d),0.5288844621513944,0.553,0.6538071065989848,0.009602971419091832,0.211652913968429,0.37728021948343926,0.882587064676617,1.0
Raw 8 features (zd),0.5378486055776892,0.592,0.6619289340101523,0.10545774813138586,0.3426933691742353,0.38221216901258126,0.8517412935323383,1.0
TACR transformer (128d),0.500996015936255,0.579,0.6426395939086295,0.012560110734470609,0.20859946645132654,0.24205182125126112,0.8855721393034826,0.9817659762131172
