representation,direction_1,direction_5,direction_20,magnitude_1,vol_5,vol_20,regime,reconstruct
objlab actorcritic (128d),0.5278884462151394,0.598,0.6609137055837564,0.07183376568065525,0.2914792861614177,0.20970947173356713,0.8746268656716418,0.9971259709767113
objlab dsr (128d),0.5368525896414342,0.559,0.616243654822335,-0.004385994019362016,0.09069109109132067,0.07406995616106049,0.8597014925373134,0.9762617056029963
objlab masked (128d),0.5139442231075697,0.574,0.665989847715736,-0.07672554719716329,0.17145753257179708,0.1878980979151066,0.8616915422885573,0.985341336440197
objlab predictive (128d),0.545816733067729,0.581,0.6588832487309645,-0.04041190526487681,0.12361113695923609,-0.0636797633321402,0.8716417910447761,0.9962105148867381
