rep,bc_coef,seed,action_std,collapsed,divergence,test_sharpe
raw,0.0,20260814,0.00015181156049948186,True,0.9454304575920105,0.7841383136067462
raw,0.0,111,0.0003367097524460405,True,0.9453936219215393,0.7839628377974217
raw,0.0,222,0.0003648207348305732,True,0.9453892707824707,0.7839908850204436
raw,0.0,333,0.00025988422567024827,True,0.9454149007797241,0.7840593998573911
raw,0.0,444,0.0003148226533085108,True,0.9454005360603333,0.7841225744273482
raw,0.0,555,0.7119255661964417,False,0.7199709415435791,0.21449975007158845
raw,0.0,666,0.06212323531508446,False,0.9069322347640991,0.7642624179811172
raw,0.0,777,0.0003479325969237834,True,0.945396363735199,0.7840803449356946
raw,0.0,888,0.8935518264770508,False,0.8484336733818054,0.1362463419516042
raw,0.0,999,0.9581400752067566,False,0.9583992958068848,-0.14340242829062086
raw,0.5,20260814,0.2920231521129608,False,0.7770997285842896,0.637592534137844
raw,0.5,111,0.22472494840621948,False,0.13665136694908142,0.25361773994134995
raw,0.5,222,0.28946202993392944,False,0.7741650342941284,0.6237153503099772
raw,0.5,333,0.3425438106060028,False,0.7292726039886475,0.5954624481203389
raw,0.5,444,0.3471716046333313,False,0.7295771837234497,0.5844803917511464
raw,0.5,555,0.4033472239971161,False,0.6651572585105896,0.5829919103148263
raw,0.5,666,0.2597814202308655,False,0.8193592429161072,0.6602626015483039
raw,0.5,777,0.17812971770763397,False,0.11603952199220657,0.6420268607426087
raw,0.5,888,0.3439178466796875,False,0.7208369970321655,0.6381230732296566
raw,0.5,999,0.39955228567123413,False,0.6558861136436462,0.5194045302633828
auto,0.0,20260814,0.0014976710081100464,True,0.9443946480751038,0.7835872577882824
auto,0.0,111,0.4976537227630615,False,0.7402763962745667,0.13619845675442602
auto,0.0,222,0.9347215890884399,False,0.9624027013778687,0.032527875946543244
auto,0.0,333,0.7773154377937317,False,0.8677629828453064,0.1406771537243732
auto,0.0,444,0.09279513359069824,False,0.3910357356071472,-0.6086279893696087
auto,0.0,555,0.12593387067317963,False,0.8765068650245667,0.7646431543793804
auto,0.0,666,0.654464066028595,False,0.6906149983406067,-0.6271433265149041
auto,0.0,777,0.29664692282676697,False,0.27535730600357056,0.3656476275326764
auto,0.0,888,0.00043486966751515865,True,0.9451486468315125,0.7840291921208941
auto,0.0,999,0.00023124653671402484,True,0.9452876448631287,0.7841268379420164
auto,0.5,20260814,0.18741223216056824,False,0.8749708533287048,0.8219013673605505
auto,0.5,111,0.4677000045776367,False,0.6437631249427795,0.6540189232930949
auto,0.5,222,0.1768842488527298,False,0.876181423664093,0.8291154210147716
auto,0.5,333,0.1655724048614502,False,0.06186550483107567,0.8770510745486934
auto,0.5,444,0.4978060722351074,False,0.5528654456138611,0.6124123489315404
auto,0.5,555,0.3837094306945801,False,0.7414342761039734,0.7521930085843954
auto,0.5,666,0.3014964163303375,False,0.8053715825080872,0.7728640764570998
auto,0.5,777,0.4221593737602234,False,0.7147300243377686,0.6995748123032776
auto,0.5,888,0.21248696744441986,False,0.862925112247467,0.8386161385948484
auto,0.5,999,0.06274966895580292,False,0.9266459345817566,0.8247453189847793
predictive,0.0,20260814,0.00015679925854783505,True,0.9453611969947815,0.7842325331875001
predictive,0.0,111,0.11825878918170929,False,0.3113747239112854,-0.6409849010199402
predictive,0.0,222,0.1466088593006134,False,0.23497700691223145,-0.023082576225265508
predictive,0.0,333,0.5917670130729675,False,0.9468310475349426,-0.03144437831304736
predictive,0.0,444,0.07050878554582596,False,0.25162068009376526,-0.6623038498389139
predictive,0.0,555,0.11627525091171265,False,0.18730668723583221,0.19806122994311404
predictive,0.0,666,0.6952580809593201,False,0.958041250705719,0.3402865002950626
predictive,0.0,777,0.00015534693375229836,True,0.9453579187393188,0.7842386765593133
predictive,0.0,888,0.00016921962378546596,True,0.9453635215759277,0.7842090685775046
predictive,0.0,999,0.00015280178922694176,True,0.945372998714447,0.7842071334169093
predictive,0.5,20260814,0.39281243085861206,False,0.7427482008934021,0.6580204392402828
predictive,0.5,111,0.4656543433666229,False,0.49071723222732544,0.5497662111253901
predictive,0.5,222,0.10431083291769028,False,0.9129838943481445,0.7937643813698395
predictive,0.5,333,0.45538246631622314,False,0.4611622095108032,0.5535806210825182
predictive,0.5,444,0.5454156398773193,False,0.4993843734264374,0.4988970980727044
predictive,0.5,555,0.490517258644104,False,0.5161545276641846,0.5419583924857279
predictive,0.5,666,0.14114226400852203,False,0.8989839553833008,0.793142250015348
predictive,0.5,777,0.19268257915973663,False,0.8736147880554199,0.775349502424903
predictive,0.5,888,0.1555759459733963,False,0.8958269953727722,0.7975014087023433
predictive,0.5,999,0.038404691964387894,False,0.9360795617103577,0.7934294704932474
contrastive,0.0,20260814,1.934899773914367e-05,True,0.9454384446144104,0.7842482719738098
contrastive,0.0,111,0.9548108577728271,False,0.9151279926300049,-0.3092621480689635
contrastive,0.0,222,0.2892318069934845,False,0.4177987575531006,-0.6248494918904168
contrastive,0.0,333,0.9145359396934509,False,0.8159357905387878,-0.33026924416214426
contrastive,0.0,444,0.1116722822189331,False,0.4661347270011902,-0.5697614735001404
contrastive,0.0,555,5.6655157095519826e-05,True,0.9453901052474976,0.784204401214171
contrastive,0.0,666,0.0799177959561348,False,0.9354267120361328,0.8265862746895021
contrastive,0.0,777,0.0006778925308026373,True,0.9449199438095093,0.7839429984452108
contrastive,0.0,888,0.00011214111145818606,True,0.9453189373016357,0.7841588788234055
contrastive,0.0,999,1.9762761439778842e-05,True,0.9454370141029358,0.7842501808457082
contrastive,0.5,20260814,0.052952662110328674,False,0.9279344081878662,0.801706623185381
contrastive,0.5,111,0.37067610025405884,False,0.7279686331748962,0.6365704914029018
contrastive,0.5,222,0.13979293406009674,False,0.8933469653129578,0.7864634163553438
contrastive,0.5,333,0.40649744868278503,False,0.7261191606521606,0.599428978082628
contrastive,0.5,444,0.4828336834907532,False,0.6682750582695007,0.5588651903684015
contrastive,0.5,555,0.2972393035888672,False,0.804082453250885,0.7123083486783884
contrastive,0.5,666,0.2773849368095398,False,0.8123019337654114,0.7132049046646334
contrastive,0.5,777,0.3009146451950073,False,0.8009467720985413,0.6976210277002489
contrastive,0.5,888,0.06646804511547089,False,0.9245995283126831,0.8054844665247847
contrastive,0.5,999,0.09900698065757751,False,0.9038894772529602,0.7747872623340974
