representation,direction_1,magnitude_1,vol_5,vol_20,regime,reconstruct,effective_rank,spectral_rank,rank_share,top1,top5,k95,scale,n,d
raw window (160d),0.5298804780876494,0.010475413367363129,0.213355870177806,0.3796487928587662,0.8835820895522388,0.9999999999868253,6.263236045837402,13.700166702270508,0.039145223796367645,0.3106345236301422,0.7210473418235779,35,172.1455535888672,1005,160
replab auto (128d),0.5159362549800797,0.028600729195213948,0.19456824800272354,0.061457995613817706,0.8716417910447761,0.9585319677438678,4.847097396850586,7.06585693359375,0.0378679484128952,0.31512346863746643,0.8774613738059998,8,16.31968879699707,1005,128
replab predictive (128d),0.5368525896414342,-0.01778741565486297,0.1607332039478181,0.07481195870128332,0.8557213930348259,0.9887343282933974,2.7743353843688965,4.529708385467529,0.021674495190382004,0.5539418458938599,0.9246375560760498,7,3.82656192779541,1005,128
replab contrastive (128d),0.5179282868525896,0.050193603360099925,0.05028571883826649,-0.05366777448072124,0.8606965174129353,0.9407157462993614,5.3433942794799805,8.464705467224121,0.04174526780843735,0.3069918751716614,0.8418350219726562,13,22.20500946044922,1005,128
