representation,Supervised,RL-A2C
raw window (160d),0.3937015685556217,-0.22099898534234144
replab auto (128d),0.635046903219204,0.13859385273274147
replab predictive (128d),1.0363887340856675,-0.3234471177350219
replab contrastive (128d),0.3167862156581613,0.07561803270827527
