algo,rep,seed,val_sharpe,test_sharpe,test_return,test_maxdd,test_turnover
BC,raw,20260814,0.6005679265843784,0.856162807105458,0.1130828857421875,-0.0324221550310738,0.083399695024909
BC,raw,111,0.2991770033017457,0.7303266622460537,0.106963038444519,-0.0506222176834242,0.0784102251990675
BC,raw,222,0.1884633487943214,0.3030372406367219,0.0595417022705078,-0.0725649849948594,0.0943483505215014
BC,raw,333,0.2610847919193643,0.7424390183052676,0.1299008131027221,-0.0593484362648646,0.1023110380999753
BC,raw,444,0.0421424681673639,0.8461522260522406,0.128446340560913,-0.0507880951519037,0.0848731591848109
BC,raw,555,-0.0201989759414147,0.7181326360523929,0.1060391664505004,-0.0440763404063914,0.0736420975217308
BC,raw,666,0.2039036605034354,0.589663234943786,0.0827435255050659,-0.0469150277398904,0.0782455832548601
BC,raw,777,0.242913296246881,0.8250274286948491,0.1029592752456665,-0.0407683300524426,0.0992140724870436
BC,raw,888,0.2232600201974537,0.6416394107561835,0.0864007472991943,-0.0537940255940002,0.0805951582856907
BC,raw,999,0.1904183207244807,0.563541395545059,0.0900425910949707,-0.0632168671720385,0.0740225378145922
A2C,raw,20260814,1.1145859918470702,0.4731420418516694,0.284581184387207,-0.2268688853370355,0.1100900845036874
A2C,raw,111,0.9386625693243694,0.2423115622147884,0.1081639528274536,-0.2935931584300695,0.1027147263881579
A2C,raw,222,1.136716187774528,0.2225956297527133,0.0910028219223022,-0.1907062737001872,0.1276970855817569
A2C,raw,333,0.8443996623738954,0.0409208277775301,-0.021498680114746,-0.3340960114687445,0.1068345775355154
A2C,raw,444,0.8681174364184022,0.5615147987972879,0.3121312856674194,-0.1484881580117901,0.1119230418980344
A2C,raw,555,0.8947084151517027,0.6953403053171504,0.4716936349868774,-0.2342586835699424,0.1203998911662481
A2C,raw,666,1.118142313597416,0.4575088565922409,0.2592349052429199,-0.2237532659348357,0.1160733840507061
A2C,raw,777,1.0525539672478548,0.1340566714195819,0.0355453491210937,-0.3065497843929421,0.1131240874862493
A2C,raw,888,0.7131042822263322,0.2713139052554427,0.1209998130798339,-0.1842411956718064,0.0890632956849401
A2C,raw,999,1.8020694315577483,0.5232751776933289,0.3162986040115356,-0.2054412001416635,0.0889380131509915
IQL,raw,20260814,0.1251916320440751,0.2901503133373625,0.0420210361480712,-0.0599284780949364,0.1002539448267479
IQL,raw,111,0.3152879723254253,0.4024150189495156,0.0566077232360839,-0.0686348864977228,0.0962809125390089
IQL,raw,222,0.1389586435074738,0.4960446490668342,0.0782952308654785,-0.0599970425313192,0.0896647259002245
IQL,raw,333,-0.0180937690661,0.6767673720609394,0.1205743551254272,-0.0465723246268917,0.1115648462112752
IQL,raw,444,0.0495765082204241,0.7338859165678377,0.104324460029602,-0.0502352760475964,0.0819008604330891
IQL,raw,555,0.3892072112352231,0.7475611452345917,0.1397931575775146,-0.0582424300192414,0.0874739169000661
IQL,raw,666,0.1960263346570094,0.5038910018177578,0.0782611370086669,-0.066627087998861,0.0809830992555579
IQL,raw,777,0.1875203827922359,0.5211076339379123,0.0935742855072021,-0.0627732161655895,0.1012956145082818
