source,seed,dim,dir1_auc,mag_r2,vol20_r2,regime_bacc,effective_rank,supervised_sharpe
raw,20260814,160,0.4823129397172979,-0.18159134937473476,-0.6365460867264743,0.7959719077893729,9.223942756652832,-0.40041559929494697
csi_auto,20260814,128,0.5253640698843103,-0.201662582958674,-0.41298678175916215,0.662234242019379,6.068419933319092,0.07659984344799517
spy_auto,20260814,128,0.5320873340033787,-0.09668085025597106,-0.2981925017829856,0.8276768605962377,5.347744464874268,0.5883327101493705
random_auto,20260814,128,0.5304877787994783,-0.1453267335985764,-0.3071175758915301,0.8641601971485668,2.7785205841064453,-0.07025767539984445
csi_predictive,20260814,128,0.5134871586510703,0.0018854647744570574,-0.22672859642284626,0.7188129073108375,3.1025426387786865,0.15789633913551354
spy_predictive,20260814,128,0.5043004084425722,-0.0744068701454641,-0.11827741472551612,0.7481444313693476,3.615274667739868,-0.8067486906508778
random_predictive,20260814,128,0.5304877787994783,-0.1453267335985764,-0.3071175758915301,0.8641601971485668,2.7785205841064453,-0.07025767539984445
csi_contrastive,20260814,128,0.49452344802514814,-0.10375484129857204,-0.3945419506220158,0.9198981071640248,5.32847261428833,-0.754751769819577
spy_contrastive,20260814,128,0.522460064580972,-0.1145583656399527,-0.5502853580270628,0.8922532374138918,5.570614337921143,-0.6533067214268475
random_contrastive,20260814,128,0.5304877787994783,-0.1453267335985764,-0.3071175758915301,0.8641601971485668,2.7785205841064453,-0.07025767539984445
raw,111,160,0.4823129397172979,-0.18159134937473476,-0.6365460867264743,0.7959719077893729,9.223942756652832,-0.40041559929494697
csi_auto,111,128,0.5198041186408058,-0.060506343539167284,-0.3998029450154228,0.7660508428791496,6.622921943664551,-0.4531730908970832
spy_auto,111,128,0.5078716078951307,-0.17128753510980044,-0.19434935900425998,0.8784326277427007,5.850069999694824,-0.14498062458726546
random_auto,111,128,0.5221435750486496,-0.06233264551877338,-0.2297942239525026,0.8725808581909508,3.0660462379455566,0.06726307486117564
csi_predictive,111,128,0.5129953168102988,-0.0861645601542762,-0.16164812307338794,0.6520013194564741,3.1200711727142334,0.3345738069278675
spy_predictive,111,128,0.4990227316468148,-0.08591370555829037,-0.3276743614307507,0.7886578180782792,3.845557928085327,0.40226569557940206
random_predictive,111,128,0.5221435750486496,-0.06233264551877338,-0.2297942239525026,0.8725808581909508,3.0660462379455566,0.06726307486117564
csi_contrastive,111,128,0.49481855312961104,-0.1410735940995862,-0.3711348355665631,0.8219570035063826,5.436466217041016,-0.1373149841065348
spy_contrastive,111,128,0.5169172208797553,-0.05565355849245979,-0.36164933573741176,0.8129036604297791,5.194211006164551,0.19426193895274263
random_contrastive,111,128,0.5221435750486496,-0.06233264551877338,-0.2297942239525026,0.8725808581909508,3.0660462379455566,0.06726307486117564
raw,222,160,0.4823129397172979,-0.18159134937473476,-0.6365460867264743,0.7959719077893729,9.223942756652832,-0.40041559929494697
csi_auto,222,128,0.5132989756859055,-0.16090177128676109,-0.32756805005514833,0.7728006127375338,6.589910984039307,-0.339490739351027
spy_auto,222,128,0.5275238970981332,-0.07584007608057441,-0.2174094390637713,0.8528306589118732,5.327474594116211,0.1995242348241872
random_auto,222,128,0.508902337317965,0.004306841411564233,-0.314340979349071,0.8386154733483729,2.7590491771698,-0.4742960310477434
csi_predictive,222,128,0.49948891217415475,-0.0364588357165232,-0.19016046470528747,0.7311585863231832,2.89985990524292,-0.2446205447886352
spy_predictive,222,128,0.5209417702029382,-0.06183240335647744,-0.18234319283332345,0.8849423003276738,3.3335988521575928,-0.19142679888959
random_predictive,222,128,0.508902337317965,0.004306841411564233,-0.314340979349071,0.8386154733483729,2.7590491771698,-0.4742960310477434
csi_contrastive,222,128,0.5015589247909672,-0.02475912058820695,-0.3801918439653582,0.84749226943195,5.374119281768799,-0.13484739678763513
spy_contrastive,222,128,0.491794795030259,-0.12372354020983134,-0.5063328521808432,0.8700119667003169,5.439648628234863,-0.3314272384389776
random_contrastive,222,128,0.508902337317965,0.004306841411564233,-0.314340979349071,0.8386154733483729,2.7590491771698,-0.4742960310477434
