axis,size,objective,n_seeds,cross_seed_cka,dir1_auc_mean,dir1_auc_std,mag_r2_mean,mag_r2_std,vol20_r2_mean,vol20_r2_std,regime_bacc_mean,regime_bacc_std,effective_rank_mean,effective_rank_std,supervised_sharpe_mean,supervised_sharpe_std
feature,4,auto,10,0.9771342264281379,0.5052318805874841,0.00741199447567482,0.05043277576669923,0.02622002169221029,0.2647874133250713,0.04959771451605591,0.851682977489429,0.03411396112271341,4.731805324554443,0.30550417893861764,0.7508329376882065,0.21575160262446896
feature,8,auto,10,0.9915671414799161,0.5077350734355044,0.018658715363061972,0.0044791381641600455,0.03803873753681466,0.024493730866164243,0.08048951728743925,0.6138224944676558,0.06120615829511292,4.837252902984619,0.07678774357358185,0.6739869760300128,0.45809047115332574
feature,12,auto,10,0.9921683510144551,0.5012739463601533,0.013167576599964247,-0.0033039388504979674,0.031016224580084507,0.029368763319841396,0.11886629514579045,0.6410665378407313,0.07933471019831681,4.863627338409424,0.13118692744557042,0.6581798798054438,0.4346293530999718
feature,16,auto,10,0.9894121726353963,0.5043706098339719,0.008835787961517906,-0.011783005585517425,0.029984507229046567,0.03751553993749307,0.08690749448941701,0.6292276356792486,0.06996241716984389,4.806013441085815,0.11119961577050708,0.679515319197021,0.28852661829303894
feature,24,auto,10,0.9880366073714362,0.5062256545338442,0.00989120714808332,0.02162892491022541,0.044401518885344715,-0.1839793103971957,0.15044166891453623,0.6241181273439338,0.010497756438342476,4.4854536056518555,0.05310187967319257,0.6820475873933401,0.25886827475851126
feature,32,auto,10,0.990024729569753,0.5145633780332055,0.014609030251199943,0.03183804218034464,0.022819125050808423,0.00832964544636956,0.08346715847705581,0.6736106865139123,0.07545756323546321,5.124139595031738,0.0930705161331925,0.7300986673590814,0.3033324546894645
feature,4,predictive,10,0.9227434542444017,0.4958540868454662,0.006253018703011069,0.060962977442136065,0.0198640467718105,0.39468505062552717,0.02925770535137021,0.8849586914103043,0.009767540156969658,2.4797420740127563,0.39596111737647205,0.8263789963760392,0.22618685690571178
feature,8,predictive,10,0.9642298234833612,0.5139715038314177,0.007474372155045151,-0.009253535824444136,0.033628624915444,0.05345898111598938,0.10749771250199305,0.5801497349884446,0.010417598080500488,2.6051143169403077,0.3339177490711676,0.7514648787087176,0.24074170421405097
feature,12,predictive,10,0.9519949052068922,0.5197553480204342,0.00898378233428725,-0.00430134072485675,0.04026298957323291,0.07232420106771617,0.0828334728264521,0.5835546900063029,0.011271166900401124,2.512974977493286,0.34159891678357535,0.7702981186295702,0.2417583617405473
feature,16,predictive,10,0.9712820238537259,0.5182563058748404,0.013573268852375727,-0.01033770180172432,0.03656147062456896,-0.0019320981787614877,0.14444117360666142,0.6059209607596705,0.06274248284959211,2.390940546989441,0.1719655720021438,0.8564312331944602,0.2648180302182397
feature,24,predictive,10,0.9567077199618021,0.5278380427841635,0.0065170390137962615,-0.0027544731474227315,0.02881234184974472,-0.13540680898484062,0.20513729679286438,0.6152578217094347,0.022747667391370886,2.9130213975906374,0.19066773558918754,0.6565536102701601,0.22867010961759782
feature,32,predictive,10,0.9639549255371094,0.5255507662835249,0.006912262997890492,-0.026048661225339664,0.05507993714960836,-0.062221025089608695,0.10207478862625305,0.618412673251383,0.02679563206654251,3.2090044021606445,0.2731239083226853,0.48141027548301263,0.4433391647699991
feature,4,contrastive,10,0.9811648766199748,0.5180850893997445,0.00849571231208848,0.03907027922982139,0.028443016996614324,0.1636710325017058,0.052121073122558086,0.858090809703713,0.012318444124344083,4.67689471244812,0.32639962050533866,0.9279044073119203,0.3591294953447525
feature,8,contrastive,10,0.9817664305369059,0.5058469029374202,0.013375952713067199,0.017870484527164665,0.03177035466626598,-0.006577673804011519,0.07484612956071965,0.8211026694897663,0.06821507646860549,5.113996171951294,0.19266044146145225,0.4865589936015916,0.46994676428202475
feature,12,contrastive,10,0.9792469408777025,0.5144264846743296,0.01470758935470068,0.020365459807763275,0.029379509634479835,0.06016337212222125,0.10353093042637286,0.7801916285787254,0.08705879306638212,5.043395090103149,0.244086699436551,0.8177286906358476,0.522622305563136
feature,16,contrastive,10,0.979769398106469,0.5179310344827586,0.010808296182965972,0.013223106285762209,0.03264522587205077,0.021023454868213963,0.09787436579643692,0.8054155957381763,0.055724542186314126,5.109813499450683,0.2521665147740949,0.9686879838395989,0.5539971199105065
feature,24,contrastive,10,0.9742755121654935,0.5244200989782887,0.02065874979581058,0.01896675537850766,0.02556134071357073,-0.15761488603155943,0.127278980491385,0.6260286260286261,0.05030281688884193,5.539427471160889,0.17548260025749296,1.0051443147148924,0.4957222135142214
feature,32,contrastive,10,0.9715684440400866,0.5185504469987228,0.007328949281689744,0.030276184536519292,0.018027820089568707,-0.04872030561652398,0.1235703086004983,0.6605853025207864,0.08600755781187702,5.996010971069336,0.21722117627364226,1.0077359111031696,0.2352241409642016
