representation,effective_rank,spectral_rank,rank_share,top1,top5,k95,scale,n,d
Raw 8 features (zd),3.082764153845482,4.4185329196731695,0.3853455192306853,0.5225277134648085,0.9227485428380712,6,9.674710745603566,5033,8
Raw 20x8 window (160d),7.6026909709736215,17.243133603679432,0.04751681856858513,0.28290797710173693,0.6632632919382415,40,193.13909112966644,5033,160
DDR-GRU (32d),1.7942265272140503,3.1692047119140625,0.05606957897543907,0.7377241253852844,0.9223369359970093,7,4.792400360107422,1005,32
TACR transformer (128d),3.5450515747070312,7.714453220367432,0.02769571542739868,0.48754939436912537,0.8521321415901184,35,5.138069152832031,1005,128
D encoder (128d),2.6191115379333496,5.2889251708984375,0.020461808890104294,0.578558087348938,0.8742660284042358,15,1.1012802124023438,1005,128
