date,P_up,sign,fP,fP_vol,vol20d,ret,ret_sign
2021-01-05,0.6133922886631007,1.0,0.2267845773262014,1.4718028719443794,0.15408624459782394,0.009157670524661876,1.0
2021-01-06,0.6084434806440008,1.0,0.21688696128800156,1.335637155704048,0.16238464193793334,0.017717770819474454,1.0
2021-01-07,0.6333845200975694,1.0,0.2667690401951388,1.6858880980091357,0.15823650484878932,-0.0033056100515502784,-1.0
2021-01-08,0.5711126013416719,1.0,0.1422252026833437,0.8667821965892057,0.16408413006520084,-0.009876022463024103,-1.0
2021-01-11,0.5254096633809091,1.0,0.05081932676181822,0.2906471544895446,0.17484887079342223,0.028522421146380816,1.0
2021-01-12,0.5540383480864949,1.0,0.10807669617298976,0.6127571416257167,0.1763777014271096,-0.0032846391212277837,-1.0
2021-01-13,0.5690360170065596,1.0,0.13807203401311918,0.7296392862362364,0.18923327816591196,-0.019274929898344673,-1.0
2021-01-14,0.6161201357901497,1.0,0.23224027158029936,1.2223074619818113,0.1900015166427539,-0.0022621514550158484,-1.0
2021-01-15,0.5233071469746708,1.0,0.04661429394934169,0.24357731879042394,0.1913737049936453,0.011073489015644755,1.0
2021-01-20,0.5941286452076052,1.0,0.18825729041521044,0.9638156512670094,0.19532499826884098,0.016166541950473512,1.0
2021-01-21,0.5781831623209129,1.0,0.15636632464182587,0.806694194597077,0.19383593645411917,0.0008637963661612957,1.0
2021-01-22,0.5878604667580413,1.0,0.17572093351608253,0.9143423077308873,0.19218287508992898,0.01008065674454417,1.0
2021-01-26,0.5674787696804414,1.0,0.13495753936088284,0.7035961455267437,0.19181108398461671,0.002727206107490554,1.0
2021-01-27,0.43926636741517305,-1.0,0.12146726516965389,0.5753818726610344,0.21110721581806244,-0.027290144379443992,-1.0
2021-01-28,0.5679629533977983,1.0,0.13592590679559668,0.63820183322602,0.2129826329525104,-0.0046824122029114346,-1.0
2021-01-29,0.4749364148864689,-1.0,0.050127170227062146,0.2342156625325936,0.2140214265990278,0.01227268862931652,1.0
2021-02-01,0.5978828621892637,1.0,0.19576572437852735,0.9016717818971336,0.2171141742582126,0.015402255739021653,1.0
2021-02-02,0.5837996056736997,1.0,0.1675992113473994,0.7760094671532044,0.2159757302475164,-0.0028886991891791114,-1.0
2021-02-03,0.5665595793986681,1.0,0.13311915879733616,0.6357259997751148,0.20939706547227338,-0.0020515200810324874,-1.0
2021-02-04,0.6041913962576049,1.0,0.20838279251520975,1.0049155524693665,0.20736348641749378,0.0017292820465228953,1.0
2021-02-05,0.5941658825048994,1.0,0.18833176500979887,0.8938750612360434,0.2106913741942584,0.014798809646690891,1.0
2021-02-08,0.5797701403408554,1.0,0.15954028068171078,0.741863575105093,0.21505339530803916,0.02186838784436218,1.0
2021-02-09,0.5279993262822406,1.0,0.05599865256448111,0.2510126035729022,0.22309099928608678,0.021361881732248955,1.0
2021-02-10,0.5205308259179484,1.0,0.04106165183589683,0.1860160897740218,0.22074247386760906,-0.006773399332853369,-1.0
2021-02-18,0.5588154683440564,1.0,0.11763093668811275,0.5835201266264975,0.20158848224854212,0.0018135071175082729,1.0
2021-02-19,0.631185975444397,1.0,0.26237195088879406,1.1151686255708344,0.23527558512013433,-0.03140923389149586,-1.0
2021-02-22,0.5941078077908392,1.0,0.18821561558167832,0.8445166017182922,0.22286786926239957,-0.0031559673151481116,-1.0
