regime,n,up_rate,sign-only (|a|=1),|2P-1| (canonical P),|2P-1| / vol20d
bull,318,0.5031446540880503,1.345060679859842,1.0692365326764803,0.6876803697787235
bear,530,0.47924528301886793,1.5007850418414157,1.9977847472455896,2.738127176517581
crisis,19,0.5263157894736842,0.0,0.0,0.0
