model,sharpe_model_mean,sharpe_model_std,sharpe_em_mean,sharpe_em_std,margin_mean,wins_vs_em
B (DDR-naive),0.2616,0.2088,-0.0176,0.134,0.2792,5
B-vt (DDR-voltarget),0.4129,0.2064,0.0402,0.2554,0.3727,5
C (TACR),-0.584,0.1127,-0.585,0.1145,0.0009,1
D (fuzzy+IQL),-0.239,0.0631,0.0671,0.0803,-0.3061,0
D-minus-fuzzy,-0.2385,0.0654,0.0553,0.0576,-0.2938,0
C+ (hybrid z-only),-0.3637,0.0837,-0.585,0.1145,0.2212,5
C+ (hybrid z+macro),-0.3486,0.2017,-0.5358,0.1047,0.1872,4
