model,bps,crisis_mult,vol_k,sharpe_model_mean,sharpe_model_std,sharpe_em_mean,sharpe_em_std,margin_mean,wins_vs_em
C (TACR),2.0,1.0,1.0,-0.5556,0.0601,-0.5556,0.0601,0.0,0
C (TACR),2.0,1.0,2.0,-0.5546,0.0601,-0.5546,0.0601,0.0,0
C (TACR),5.0,1.0,0.5,-0.5721,0.0615,-0.5721,0.0615,0.0,0
C (TACR),5.0,1.0,1.0,-0.5653,0.0606,-0.5653,0.0606,0.0,0
C (TACR),5.0,1.0,2.0,-0.5627,0.0602,-0.5627,0.0602,0.0,0
D (fuzzy+IQL),0.0,1.0,0.0,-0.2275,0.0643,0.0578,0.0799,-0.2853,0
D (fuzzy+IQL),0.5,1.0,0.0,-0.2449,0.0639,0.0419,0.0796,-0.2867,0
D (fuzzy+IQL),1.0,1.0,0.0,-0.2623,0.0636,0.0259,0.0793,-0.2882,0
D (fuzzy+IQL),2.0,1.0,0.0,-0.2972,0.0629,-0.0059,0.0787,-0.2912,0
D (fuzzy+IQL),5.0,1.0,0.0,-0.4016,0.0608,-0.1014,0.077,-0.3002,0
D (fuzzy+IQL),10.0,1.0,0.0,-0.5755,0.0575,-0.2605,0.0742,-0.3149,0
D (fuzzy+IQL),1.0,5.0,0.0,-0.265,0.0635,0.0234,0.0793,-0.2884,0
D (fuzzy+IQL),5.0,5.0,0.0,-0.415,0.0606,-0.114,0.0773,-0.301,0
D (fuzzy+IQL),0.5,1.0,0.5,-0.2406,0.064,0.0458,0.0796,-0.2865,0
D (fuzzy+IQL),0.5,1.0,1.0,-0.2366,0.064,0.0496,0.0797,-0.2862,0
D (fuzzy+IQL),0.5,1.0,2.0,-0.2352,0.0641,0.0509,0.0798,-0.2861,0
D (fuzzy+IQL),1.0,1.0,0.5,-0.2538,0.0637,0.0339,0.0794,-0.2877,0
D (fuzzy+IQL),1.0,1.0,1.0,-0.2457,0.0638,0.0414,0.0796,-0.2871,0
D (fuzzy+IQL),1.0,1.0,2.0,-0.2429,0.0638,0.044,0.0797,-0.2869,0
D (fuzzy+IQL),2.0,1.0,0.5,-0.2801,0.0631,0.01,0.079,-0.2901,0
D (fuzzy+IQL),2.0,1.0,1.0,-0.264,0.0634,0.025,0.0793,-0.289,0
D (fuzzy+IQL),2.0,1.0,2.0,-0.2584,0.0634,0.0303,0.0796,-0.2886,0
D (fuzzy+IQL),5.0,1.0,0.5,-0.359,0.0614,-0.0616,0.0777,-0.2973,0
D (fuzzy+IQL),5.0,1.0,1.0,-0.3188,0.062,-0.0241,0.0785,-0.2947,0
D (fuzzy+IQL),5.0,1.0,2.0,-0.3047,0.0622,-0.011,0.0794,-0.2936,0
D-minus-fuzzy,0.0,1.0,0.0,-0.2573,0.0704,0.0499,0.0688,-0.3072,0
