date,P_up,U_var,sign,c8,c16,a8,a16,ret,ret_sign,vol20d
2021-01-04,0.5763563050194879,0.00014466719519693483,1.0,0.10388480797410012,0.16422151625156403,0.10388480797410012,0.16422151625156403,0.005604592,1.0,0.1065378346917438
2021-01-05,0.5406782025096643,0.00016632200918145318,1.0,0.07467061430215835,0.10699170902371406,0.07467061430215835,0.10699170902371406,0.009665868,1.0,0.11098510957332386
2021-01-06,0.4484683644401616,0.0023918372924253287,-1.0,-0.12980764210224152,-0.11223122850060463,0.12980764210224152,0.11223122850060463,0.013013333,1.0,0.11696488516088081
2021-01-07,0.5566879957683948,0.0004908704131896351,1.0,0.18277573119848967,0.12733510732650757,0.18277573119848967,0.12733510732650757,0.004527746,1.0,0.11043182120595392
2021-01-08,0.5614511236010319,0.0005651822586861546,1.0,0.15467709070071578,0.1261309128254652,0.15467709070071578,0.1261309128254652,-0.004874214,-1.0,0.11258139154402677
2021-01-11,0.5245640662667391,0.00048678243067261807,1.0,0.20540505982935428,0.19996775090694427,0.20540505982935428,0.19996775090694427,-0.001922368,-1.0,0.11221139381243303
2021-01-12,0.5462048421521833,0.0005162081248784305,1.0,0.15423751436173916,0.16725712032057344,0.15423751436173916,0.16725712032057344,0.0044589853,1.0,0.11197631836240579
2021-01-13,0.5547498671650122,0.0004072921867454651,1.0,0.16977492677979172,0.21567767187952996,0.16977492677979172,0.21567767187952996,-0.0064355135,-1.0,0.11223282944859382
2021-01-14,0.5446494674756812,0.0007040373660148413,1.0,0.17908237427473067,0.24961843490600585,0.17908237427473067,0.24961843490600585,-0.009861203,-1.0,0.11855683285168322
2021-01-15,0.5714286392044193,0.00014899494087656338,1.0,0.20205946788191795,0.3067920386791229,0.20205946788191795,0.3067920386791229,0.012789704,1.0,0.12580477001835427
2021-01-19,0.5253433482976544,8.68240932115898e-05,1.0,0.2360155090689659,0.2732567250728607,0.2360155090689659,0.2732567250728607,0.013867285,1.0,0.13210303182027938
2021-01-20,0.5476399255129325,0.0005176774218556485,1.0,0.25244152918457985,0.2550949722528458,0.25244152918457985,0.2550949722528458,-0.0020542424,-1.0,0.1272084085148187
2021-01-21,0.5732758645603528,0.00025190085803284475,1.0,0.26466887146234513,0.301374489068985,0.26466887146234513,0.301374489068985,-0.0027098858,-1.0,0.12558984878535592
2021-01-22,0.545799302697598,0.000223072897735687,1.0,0.31772245168685914,0.3199203431606293,0.31772245168685914,0.3199203431606293,0.0026388671,1.0,0.12443163270894556
2021-01-25,0.5671173793717372,0.0003812924053211152,1.0,0.3210880696773529,0.334848690032959,0.3210880696773529,0.334848690032959,0.001198697,1.0,0.12442102184814299
2021-01-26,0.5460914630122125,0.00021453004996542518,1.0,0.31734617948532107,0.3333944231271744,0.31734617948532107,0.3333944231271744,-0.031102782,-1.0,0.1664188773677331
2021-01-27,0.6186419494141839,0.00024525936004575054,1.0,0.2769211370497942,0.4600213348865509,0.2769211370497942,0.4600213348865509,0.010019879,1.0,0.16909735640431142
2021-01-28,0.5158639483893519,0.0004871725332352952,1.0,0.2589884623885155,0.40964677929878235,0.2589884623885155,0.40964677929878235,-0.017394079,-1.0,0.1806014206207108
2021-01-29,0.5654894571814116,0.0007095108283046188,1.0,0.28741439506411554,0.46315351128578186,0.28741439506411554,0.46315351128578186,0.018351603,1.0,0.191452625191962
2021-02-01,0.5384431716041485,0.0004802569855192386,1.0,0.25380436331033707,0.4163288712501526,0.25380436331033707,0.4163288712501526,0.018898014,1.0,0.19496611583938
2021-02-02,0.5021436410909368,0.0005487521763816734,1.0,0.27425196319818496,0.4072993338108063,0.27425196319818496,0.4072993338108063,-0.0026086504,-1.0,0.19509497929998956
2021-02-03,0.5364341359894126,0.0008058788456102752,1.0,0.30861056596040726,0.447985577583313,0.30861056596040726,0.447985577583313,0.009494168,1.0,0.19500086321988852
2021-02-04,0.5201483609395696,0.0004934433972987137,1.0,0.32407885454595087,0.4113275587558746,0.32407885454595087,0.4113275587558746,0.0057517425,1.0,0.19098390604987417
2021-02-05,0.504348383621843,0.0005369988730426769,1.0,0.4087620049715042,0.45011739134788514,0.4087620049715042,0.45011739134788514,0.0059506944,1.0,0.1913838967282067
2021-02-08,0.5090743259307855,0.0006849357543405965,1.0,0.38270704746246337,0.4218143254518509,0.38270704746246337,0.4218143254518509,0.0004609475,1.0,0.190062026707597
2021-02-09,0.5149987831331228,0.00023932513764073716,1.0,0.3737721309065819,0.481865781545639,0.3737721309065819,0.481865781545639,-0.0037114774,-1.0,0.19059336816371433
2021-02-10,0.5320139946851714,0.0001415005234346413,1.0,0.4001746863126755,0.47606791853904723,0.4001746863126755,0.47606791853904723,0.0031343936,1.0,0.19036927776676352
2021-02-11,0.5135906911467822,0.00012009200560878454,1.0,0.3978190317749977,0.5182431399822235,0.3978190317749977,0.5182431399822235,0.0067870407,1.0,0.18899286746116173
2021-02-12,0.49385487683634705,0.000252006730037075,-1.0,-0.39291879199445245,-0.5651855945587159,0.39291879199445245,0.5651855945587159,-0.004197405,-1.0,0.18531383320586234
2021-02-16,0.5171434732863883,0.000645158690927317,1.0,0.43441288769245145,0.5634491503238678,0.43441288769245145,0.5634491503238678,0.004189552,1.0,0.18131508081332848
2021-02-17,0.48910386062991834,0.0004356025836967792,-1.0,-0.4264099657535553,-0.5909736812114715,0.4264099657535553,0.5909736812114715,-0.0066142613,-1.0,0.17785055796164326
2021-02-18,0.5494134885505961,0.0002068525210934781,1.0,0.3955552116036415,0.6094401180744171,0.3955552116036415,0.6094401180744171,-0.0020230992,-1.0,0.1778439071623613
2021-02-19,0.5108442784117023,0.0013628651353898727,1.0,0.38787286877632143,0.5753369152545929,0.38787286877632143,0.5753369152545929,-0.007672569,-1.0,0.18001166948667102
