date,P_up_can,P_up_ens,sign_can,sign_ens,fP,fP_vol,vol20d,ret,ret_sign
2021-01-04,0.5685726300538384,0.5763563050194879,1.0,1.0,0.1371452601076768,1.2872916040061488,0.1065378346917438,0.005604592,1.0
2021-01-05,0.5441869213104767,0.5406782025096643,1.0,1.0,0.08837384262095349,0.7962675620243279,0.11098510957332386,0.009665868,1.0
2021-01-06,0.44971431981405985,0.4484683644401616,-1.0,-1.0,0.1005713603718803,0.8598423384381404,0.11696488516088081,0.013013333,1.0
2021-01-07,0.5577987128066941,0.5566879957683948,1.0,1.0,0.11559742561338826,1.0467764123694072,0.11043182120595392,0.004527746,1.0
2021-01-08,0.5676010071910855,0.5614511236010319,1.0,1.0,0.13520201438217105,1.2009268363795105,0.11258139154402677,-0.004874214,-1.0
2021-01-11,0.5264398248416191,0.5245640662667391,1.0,1.0,0.05287964968323822,0.4712502704638818,0.11221139381243303,-0.001922368,-1.0
2021-01-12,0.5368552183210802,0.5462048421521833,1.0,1.0,0.07371043664216037,0.65826808489631,0.11197631836240579,0.0044589853,1.0
2021-01-13,0.5614697623979766,0.5547498671650122,1.0,1.0,0.12293952479595327,1.0953971792385708,0.11223282944859382,-0.0064355135,-1.0
2021-01-14,0.5337133449399395,0.5446494674756812,1.0,1.0,0.06742668987987899,0.5687288388028298,0.11855683285168322,-0.009861203,-1.0
2021-01-15,0.5731889327746071,0.5714286392044193,1.0,1.0,0.14637786554921428,1.1635319195596359,0.12580477001835427,0.012789704,1.0
2021-01-19,0.5377142937529878,0.5253433482976544,1.0,1.0,0.0754285875059757,0.5709830158068826,0.13210303182027938,0.013867285,1.0
2021-01-20,0.5570777975140323,0.5476399255129325,1.0,1.0,0.1141555950280646,0.8973903247501633,0.1272084085148187,-0.0020542424,-1.0
2021-01-21,0.5716053442645971,0.5732758645603528,1.0,1.0,0.14321068852919416,1.140304649732908,0.12558984878535592,-0.0027098858,-1.0
2021-01-22,0.5390088098652542,0.545799302697598,1.0,1.0,0.07801761973050847,0.6269918511235583,0.12443163270894556,0.0026388671,1.0
2021-01-25,0.5655872052420367,0.5671173793717372,1.0,1.0,0.1311744104840733,1.0542785176943241,0.12442102184814299,0.001198697,1.0
2021-01-26,0.548186180607803,0.5460914630122125,1.0,1.0,0.096372361215606,0.579095128749448,0.1664188773677331,-0.031102782,-1.0
2021-01-27,0.5975208879205829,0.6186419494141839,1.0,1.0,0.19504177584116578,1.1534288884731072,0.16909735640431142,0.010019879,1.0
2021-01-28,0.534545391466617,0.5158639483893519,1.0,1.0,0.0690907829332339,0.38255946545589237,0.1806014206207108,-0.017394079,-1.0
2021-01-29,0.5645571781541464,0.5654894571814116,1.0,1.0,0.12911435630829282,0.6743932405149052,0.191452625191962,0.018351603,1.0
2021-02-01,0.5492291299901867,0.5384431716041485,1.0,1.0,0.09845825998037339,0.5050019053643495,0.19496611583938,0.018898014,1.0
2021-02-02,0.5197482596517007,0.5021436410909368,1.0,1.0,0.03949651930340137,0.2024476459882096,0.19509497929998956,-0.0026086504,-1.0
2021-02-03,0.5299826257358509,0.5364341359894126,1.0,1.0,0.05996525147170173,0.30751274882349217,0.19500086321988852,0.009494168,1.0
2021-02-04,0.5203705229152821,0.5201483609395696,1.0,1.0,0.04074104583056415,0.21332187969767932,0.19098390604987417,0.0057517425,1.0
2021-02-05,0.5003334598829846,0.504348383621843,1.0,1.0,0.0006669197659692205,0.0034847224733664233,0.1913838967282067,0.0059506944,1.0
2021-02-08,0.5062084160985627,0.5090743259307855,1.0,1.0,0.012416832197125416,0.06533042087480329,0.190062026707597,0.0004609475,1.0
2021-02-09,0.5181219542779784,0.5149987831331228,1.0,1.0,0.036243908555956716,0.1901635345718022,0.19059336816371433,-0.0037114774,-1.0
2021-02-10,0.5348224184041981,0.5320139946851714,1.0,1.0,0.06964483680839617,0.3658407366220277,0.19036927776676352,0.0031343936,1.0
2021-02-11,0.5208699985453555,0.5135906911467822,1.0,1.0,0.04173999709071108,0.22085488014138258,0.18899286746116173,0.0067870407,1.0
2021-02-12,0.5009400649412826,0.49385487683634705,1.0,-1.0,0.0018801298825652513,0.010145653187566647,0.18531383320586234,-0.004197405,-1.0
2021-02-16,0.524749975749496,0.5171434732863883,1.0,1.0,0.049499951498992,0.27300515366371697,0.18131508081332848,0.004189552,1.0
2021-02-17,0.5104452180576519,0.48910386062991834,1.0,-1.0,0.020890436115303723,0.11746061611911912,0.17785055796164326,-0.0066142613,-1.0
2021-02-18,0.550150237617554,0.5494134885505961,1.0,1.0,0.10030047523510799,0.5639803850212277,0.1778439071623613,-0.0020230992,-1.0
2021-02-19,0.5069639243245094,0.5108442784117023,1.0,1.0,0.013927848649018859,0.07737192088010798,0.18001166948667102,-0.007672569,-1.0
2021-02-22,0.5001210802828007,0.4902974461245215,1.0,-1.0,0.0002421605656013348,0.0013464059885459011,0.17985701761685174,0.0010085077,1.0
2021-02-23,0.5383493929680988,0.5300198214375218,1.0,1.0,0.07669878593619761,0.4114415229084503,0.18641479205603617,0.014285714,1.0
2021-02-24,0.4986969197404562,0.4883128586772222,-1.0,-1.0,0.0026061605190875747,0.014740376338497532,0.176804204942926,-0.026742734,-1.0
2021-02-25,0.5741577182713191,0.5715790303623886,1.0,1.0,0.14831543654263823,0.8440606631271306,0.17571656045804765,-0.006332923,-1.0
2021-02-26,0.6185550346132299,0.6061696442083165,1.0,1.0,0.23711006922645983,1.2723948079224816,0.18634944731785272,0.027231308,1.0
2021-03-01,0.5193900693868876,0.526229299461895,1.0,1.0,0.038780138773775175,0.21643320470927493,0.17917832351956717,-0.005819767,-1.0
2021-03-02,0.5464266474238552,0.5459151070465582,1.0,1.0,0.09285329484771032,0.5180749116681891,0.17922754558549242,-0.01761308,-1.0
2021-03-03,0.5348328377368528,0.5378871436773424,1.0,1.0,0.0696656754737055,0.3659514611823679,0.1903686222446544,-0.018375115,-1.0
2021-03-04,0.5843373423308605,0.5823890725384531,1.0,1.0,0.16867468466172109,0.7968415618741611,0.21167907490292098,0.026741544,1.0
2021-03-05,0.49294768629652597,0.47145560184811935,-1.0,-1.0,0.014104627406948067,0.0669881180590682,0.21055416715112094,-0.0016147936,-1.0
2021-03-08,0.4771269464037394,0.4628373755662213,-1.0,-1.0,0.045746107192521146,0.21533884470246167,0.21243778499754434,0.009600083,1.0
2021-03-09,0.6132612422840843,0.6139847806458322,1.0,1.0,0.2265224845681686,1.0601665153161322,0.2136668922245876,0.006098034,1.0
2021-03-10,0.49703387061429943,0.4978577775617058,-1.0,-1.0,0.005932258771401133,0.02729560417316773,0.2173338510393807,0.011942368,1.0
2021-03-11,0.5282498997759402,0.5418635406409309,1.0,1.0,0.056499799551880336,0.2601870843835441,0.21715066943366595,7.613827e-05,1.0
2021-03-12,0.4813131342161644,0.47905801290081407,-1.0,-1.0,0.03737373156767121,0.17263282548416653,0.21649261351572466,0.0047455905,1.0
2021-03-15,0.5327697689254588,0.5314866117218509,1.0,1.0,0.0655395378509176,0.3037092498496504,0.21579697649433655,0.0008335017,1.0
2021-03-16,0.5397718847159108,0.5324638354050892,1.0,1.0,0.07954376943182151,0.3685090955343195,0.21585293387802837,0.0044416403,1.0
2021-03-17,0.5043220443183661,0.503449479623046,1.0,1.0,0.008644088636732272,0.0389335575060887,0.22202154620420828,-0.015451873,-1.0
2021-03-18,0.5082997033925838,0.4902698639451657,1.0,-1.0,0.01659940678516758,0.07429708128332851,0.2234193658545819,-0.007043332,-1.0
2021-03-19,0.5547394397328935,0.5541565607079582,1.0,1.0,0.10947887946578705,0.48762707295220636,0.22451353819011063,0.0106399385,1.0
2021-03-22,0.5584860514594386,0.5386783320082162,1.0,1.0,0.11697210291887727,0.5138812943382068,0.2276247534355532,-0.00963788,-1.0
2021-03-23,0.5818746590436729,0.5690259413067914,1.0,1.0,0.16374931808734572,0.7379158866776495,0.22190783671103942,-0.0034407498,-1.0
