market,rule,n,turnover,short_pct,sharpe_1bp,em_sharpe_1bp,margin_1bp,mean_daily_margin_bp,ann_margin_pct,nw_tstat,ci95_margin_lo,ci95_margin_hi,ci95_bp_lo,ci95_bp_hi,ci95_bp_lo_l5,ci95_bp_hi_l5,sharpe_0bp,sharpe_10bp,ci95_margin_pt
SPY,sign-only (|a|=1),1005,0.21592039800995025,7.5621890547263675,0.7240946830643569,0.7841152459724718,-0.06002056290811497,-0.39208577950248674,-0.9880561643462665,-0.2021167418661274,-0.6171433984043896,0.5563582874657157,-3.925224525014925,3.8343381076716416,-4.206533120398008,3.8599093360995025,0.7571224139142635,0.42627559334686266,-0.06002056290811497
SPY,|2P-1| (canonical P),1005,0.04780048133967383,7.5621890547263675,0.861860853672673,0.8109807571884852,0.05088009648418779,0.035131944416596624,0.08853249992982348,0.4060708319532228,-0.11919925073296228,0.3478308738325029,-0.0800875302299588,0.23925325665990158,-0.10362426311091678,0.2380304465267716,0.9306520601710477,0.24157213248120124,0.05088009648418779
SPY,|2P-1| / vol20d,1005,0.34275943691633187,7.5621890547263675,0.9643866640238159,0.9894795856562186,-0.02509292163240273,-0.11666946105229696,-0.29400704185178833,-0.3021783486581606,-0.12318183782872476,0.16035408309469945,-0.5291931252754224,0.7834164162187894,-0.7423487033736794,0.6846533148601693,1.0376205403300387,0.3036371483110014,-0.02509292163240273
SPY,1/vol20d (no P),1005,1.442264265291883,7.5621890547263675,0.8323384650151228,1.0223205734153815,-0.18998210840025875,-7.610588454002802,-19.17868290408706,-0.8577417672262293,-0.6027176707275438,0.2910039015761904,-23.436422554400643,11.645776853376049,-24.377648072887478,10.32804163010444,0.8684130874654573,0.5077809385733786,-0.18998210840025875
SPY,ensemble |2P-1| (ref),1005,0.05453217051115062,9.950248756218906,1.0203860163848073,0.9021907010634586,0.11819531532134875,0.07653642797424608,0.1928717984951001,0.7569510007023301,-0.11883066968304988,0.46681585616560434,-0.07460420665145263,0.31916612357732366,-0.1089546210785078,0.32318679546370993,1.1038615178148463,0.2665300052585848,0.11819531532134875
CSI300,sign-only (|a|=1),867,0.7577854671280276,37.94694348327566,1.311980076528544,-0.08792075555881473,1.3999008320873587,10.555332179539262,26.59943709243894,2.0684883991854215,-0.12490029725783773,3.0374976618848963,-0.7948657198115902,22.71113418481427,1.3023347563493621,19.95478947704333,1.4124430470522826,0.4062064636537,1.3999008320873587
CSI300,|2P-1| (canonical P),867,0.11335501228497634,37.94694348327566,1.9121172938768154,0.3350486765581671,1.5770686173186483,1.8502081835154283,4.6625246224588786,2.8040956993908708,0.4431263289093351,3.08620312684655,0.5094026074480084,3.5764931599369922,0.7311449837117833,3.0695102247845405,2.0076337143101246,1.0472728331742243,1.5770686173186483
CSI300,|2P-1| / vol20d,867,0.7070307284283835,37.94694348327566,2.0383917153892037,0.1729890245608823,1.8654026908283214,10.170624228153823,25.629973054947637,2.8391609979963737,0.4923180185236436,3.476198411065254,2.4421573345301737,19.37030752748513,4.055849052159369,16.828579963988794,2.1670515273870943,0.8738465062753682,1.8654026908283214
CSI300,1/vol20d (no P),867,5.174429523300563,37.94694348327566,1.1343960699505002,-0.42688317676930665,1.561279246719807,62.562423270388926,157.6573066413801,2.087815533736731,-0.06639954346724974,3.2060492138660144,-3.4106871395409195,132.242825402384,7.700513724326433,116.83045713957482,1.2634310738756926,-0.028611059354038303,1.561279246719807
NIFTY,sign-only (|a|=1),881,0.8728717366628831,37.003405221339385,3.3653809058309823,1.2358792404653238,2.1295016653656584,11.837955755231945,29.8316485031845,2.933047231899408,0.638266169725004,3.692002828842934,3.4210372121592387,21.00964511376538,4.000141836559318,19.572001804908968,3.5226991638916014,1.9476017188758787,2.1295016653656584
NIFTY,|2P-1| (canonical P),881,0.2168755859828786,37.003405221339385,4.399415448798794,1.2905102032251097,3.108905245573684,4.401561766715809,11.091935652123839,3.871676027706573,1.7315000990418492,4.506110920886372,2.1830532234676454,6.94078927424706,2.3630351806568566,6.62440982238007,4.541224341901035,3.089341573722567,3.108905245573684
NIFTY,|2P-1| / vol20d,881,1.7003851108010597,37.003405221339385,4.769990763517813,1.6709843861888227,3.0990063773289904,28.430805259585867,71.64562925415639,4.528611203467469,1.7699955909706835,4.58192154985512,15.748977611912492,42.422765327968904,16.895405850270205,40.57400208151105,4.939880437281201,3.193344018351124,3.0990063773289904
NIFTY,1/vol20d (no P),881,7.334800565293971,37.003405221339385,3.6185702728307825,1.5103088903424735,2.108261382488309,81.21661858525194,204.66587883483487,2.9771764120595385,0.640261421913688,3.5724005966854837,24.149343922373248,139.07411495281139,30.536356237620296,134.86597071807694,3.8085495102551756,1.9044308300801547,2.108261382488309
