year,n,up_rate,drift_cumprod,sign-only (|a|=1),|2P-1| (canonical P),|2P-1| / vol20d
2021,221,0.5339366515837104,-0.03727273656345287,1.041478759106091,1.7275903928477954,1.3332520177014109
2022,216,0.4722222222222222,-0.13438354615750792,4.417425633950158,3.9658605669544564,4.992738026664295
2023,215,0.46511627906976744,-0.03954877295738246,-0.12283327803756966,0.6874019003738924,0.6163826116655147
2024,215,0.48372093023255813,0.10820355520097724,0.04343337550440629,-0.02605656730255701,0.106585019099385
