date,P_up,sign,fP,fP_vol,vol20d,ret,ret_sign
2021-01-05,0.5732635394056769,1.0,0.14652707881135374,1.0018290371978886,0.14625956462710377,-0.0037501320469031096,-1.0
2021-01-06,0.5529051084012063,1.0,0.10581021680241265,0.72119846395478,0.14671442340876514,-0.0006291696120880319,-1.0
2021-01-07,0.631904741335846,1.0,0.2638094826716919,1.745253984694658,0.1511582182222302,0.014847223590326086,1.0
2021-01-11,0.4702308225343708,-1.0,0.059538354931258364,0.393243191828035,0.15140339659661406,0.005433314024232416,1.0
2021-01-12,0.6228732476943855,1.0,0.2457464953887709,1.6449598116896818,0.1493936165749504,9.609083312889233e-05,1.0
2021-01-13,0.6095848680417743,1.0,0.2191697360835485,1.485744627784421,0.14751507896103236,0.002111247340323086,1.0
2021-01-14,0.5590023069944997,1.0,0.11800461398899942,0.758016353669214,0.155675551612828,-0.011092344158201595,-1.0
2021-01-15,0.5078832760559946,1.0,0.015766552111989185,0.09729499698215756,0.16204895011077017,-0.010558650142566628,-1.0
2021-01-20,0.6322034443030832,1.0,0.26440688860616635,1.6211057015205173,0.16310280591707604,-0.0037112802046228577,-1.0
2021-01-21,0.5329186847465266,1.0,0.06583736949305319,0.3861100611978126,0.17051451414865687,-0.014972171647596122,-1.0
2021-01-22,0.5655207902450172,1.0,0.13104158049003445,0.7578166825947734,0.17291989408486827,-0.009254169343308138,-1.0
2021-01-27,0.394318886375937,-1.0,0.21136222724812603,1.1979402593394048,0.17643803653838308,-0.010735650281904374,-1.0
2021-01-28,0.4820887781061314,-1.0,0.035822443787737246,0.24893623848800758,0.14390208514965963,-0.013240422354072856,-1.0
2021-01-29,0.3776087159091557,-1.0,0.24478256818168864,1.1122012742496055,0.22008837235584156,0.047423511101338356,1.0
2021-02-01,0.7600037916888607,1.0,0.5200075833777213,2.2169599023704127,0.23455885820114294,0.02567357148195737,1.0
2021-02-02,0.6748863703034896,1.0,0.34977274060697927,1.4946007288584329,0.2340242004793706,0.009701122671723184,1.0
2021-02-03,0.5725735193187764,1.0,0.14514703863755285,0.6218529423441727,0.23341055216430787,0.0071467580293813615,1.0
2021-02-04,0.6759847139804754,1.0,0.3519694279609509,1.5087339624424156,0.23328793327563513,0.0019199973566108586,1.0
2021-02-05,0.6276835951966836,1.0,0.2553671903933672,1.0804763238293986,0.23634686365759577,0.01283480273296811,1.0
2021-02-08,0.6533250874076952,1.0,0.3066501748153905,1.2961241581996499,0.23659012362005158,-0.0004300136336804483,-1.0
2021-02-09,0.5557648320830003,1.0,0.11152966416600063,0.47320568481954545,0.23568961181971407,-0.00018530340410816137,-1.0
2021-02-10,0.5227386049545781,1.0,0.04547720990915627,0.19315164447277472,0.23544821496752213,0.004421924647502795,1.0
2021-02-11,0.520358756454562,1.0,0.040717512909123954,0.17597213109568013,0.231386144246812,-0.0006590524229219685,-1.0
2021-02-12,0.5314936792809272,1.0,0.06298735856185433,0.27054526325343486,0.23281634209522475,0.00998465984153385,1.0
2021-02-17,0.4343460350296771,-1.0,0.13130792994064577,0.55982874270005,0.23455017566148637,-0.005914312869584326,-1.0
2021-02-18,0.48206289838482064,-1.0,0.035874203230358725,0.15083817056668578,0.2378323941186935,-0.009074717063029758,-1.0
2021-02-19,0.5037274906178352,1.0,0.007454981235670344,0.030240922416823492,0.24651963762596812,-0.020428174591586412,-1.0
2021-02-23,0.4837045856835373,-1.0,0.032590828632925395,0.13029532151682088,0.25013045943263573,0.01864318245786234,1.0
2021-02-24,0.5604713918386836,1.0,0.1209427836773671,0.4843966456504294,0.24967717006993254,0.007699213013950157,1.0
2021-02-25,0.20344034992745766,-1.0,0.5931193001450847,2.101837491652032,0.2821908461052792,-0.03763569324758598,-1.0
2021-02-26,0.4770806406490722,-1.0,0.04583871870185563,0.1618646575138847,0.2831916454518405,0.015995389118723446,1.0
2021-03-01,0.7421890830568556,1.0,0.4843781661137112,1.7334310024152135,0.27943319661343335,0.010672985341787733,1.0
2021-03-02,0.4811517577979026,-1.0,0.03769648440419482,0.13553843527678122,0.2781239456336893,0.021884698711632122,1.0
2021-03-03,0.4053214127302259,-1.0,0.18935717453954815,0.799683946263113,0.23679001613625691,-0.010812930524138231,-1.0
2021-03-04,0.31812426831379736,-1.0,0.36375146337240527,1.6177384851053247,0.2248518328033241,-0.009459104528952489,-1.0
2021-03-05,0.6395599557944267,1.0,0.2791199115888534,1.2383845615165527,0.22539033533092262,0.010731002298940195,1.0
2021-03-09,0.7235373441471077,1.0,0.44707468829421537,1.9887527305794126,0.22480154592369184,0.005060099883821945,1.0
2021-03-10,0.6094774768092686,1.0,0.21895495361853712,0.9604188194094183,0.22797861640526484,-0.009479506235763657,-1.0
